[0.025s] Invoking command in '/home/pi/ros2_ws/build/my_robot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/pi/ros2_ws/build/my_robot_description -- -j4 -l4
[0.122s] Invoked command in '/home/pi/ros2_ws/build/my_robot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --build /home/pi/ros2_ws/build/my_robot_description -- -j4 -l4
[0.141s] Invoking command in '/home/pi/ros2_ws/build/my_robot_description': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/pi/ros2_ws/build/my_robot_description
[0.155s] -- Install configuration: ""
[0.155s] -- Execute custom install script
[0.156s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/arm.ros2_control.xacro
[0.156s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/arm.xacro
[0.156s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/camera.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/common_properties.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/lidar.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/mobile_base.ros2_control.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/mobile_base.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/my_robot.urdf.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//urdf/my_robot_gazebo_ros2_control.xacro
[0.157s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//launch/display.launch.py
[0.158s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//launch/display.launch.xml
[0.158s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description//rviz/urdf_config.rviz
[0.158s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/ament_index/resource_index/package_run_dependencies/my_robot_description
[0.158s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/ament_index/resource_index/parent_prefix_path/my_robot_description
[0.159s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/environment/ament_prefix_path.sh
[0.159s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/environment/ament_prefix_path.dsv
[0.159s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/environment/path.sh
[0.159s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/environment/path.dsv
[0.159s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/local_setup.bash
[0.159s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/local_setup.sh
[0.160s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/local_setup.zsh
[0.160s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/local_setup.dsv
[0.160s] -- Symlinking: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/package.dsv
[0.183s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/ament_index/resource_index/packages/my_robot_description
[0.183s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/cmake/my_robot_descriptionConfig.cmake
[0.183s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/cmake/my_robot_descriptionConfig-version.cmake
[0.184s] -- Up-to-date symlink: /home/pi/ros2_ws/install/my_robot_description/share/my_robot_description/package.xml
[0.186s] Invoked command in '/home/pi/ros2_ws/build/my_robot_description' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/opt/ros/jazzy DEBUGINFOD_URLS=https://debuginfod.ubuntu.com /usr/bin/cmake --install /home/pi/ros2_ws/build/my_robot_description
